question,index,source,writer,answer
Is there a simple strategy of selling stock over a period of time?,,finance,gemini,Banks often place internal holds for pre-authorizations (like hotels or gas) that reduce your available balance but don't show as itemized transactions until finalized.
"Is it bad for me to pop a abscessed tooth myself?Is it bad for me to pop a absessed tooth myself. I have to go to work in a hr.it feels so big and hard like I could just pop it but its next to a rotted out wisdom tooth that almost to me looks like a dry socket and the two teeth in front of it are the same and lower jaw. And also starting to feel sick to my stomach, what do I do??",,medicine,chatgpt,"['It is not a good idea to try to pop an abscessed tooth yourself. An abscessed tooth is a serious dental problem that needs to be treated by a dentist as soon as possible. The abscess, or pocket of pus, can be caused by a bacterial infection and can spread to other parts of your body if left untreated.\n\nIf you are experiencing pain and discomfort from an abscessed tooth, it is important to see a dentist as soon as possible. In the meantime, you can try to manage the pain by rinsing your mouth with warm salt water, taking over-the-counter pain medication, and applying a cold compress to your face to reduce swelling.\n\nIf you are feeling sick to your stomach and have other symptoms such as fever or difficulty swallowing, it is important to seek medical attention right away. Do not wait until your scheduled dental appointment to seek treatment.']"
"When people say 'Interest rates are at all time low!"" … Which interest rate are they actually referring to?",,finance,human,"['I would say people are generally talking about the prime lending rate. I have heard the prime lending rate defined as ""The rate that banks charge each other when they borrow money overnight."" But it often defined as the rate at which banks lend their most creditworthy customers. That definition comes with the caveat that it is not always held to strictly. Either definition has the same idea: it\'s the lowest rate at which anyone could currently borrow money. The rate for many types of lending is based upon the prime rate. A variable rate loan might have an interest rate of (Prime + x). The prime rate is in turn based upon the Federal Funds Rate, which is the rate that the Fed sets manually. When the news breaks that ""the Fed is raising interest rates by a quarter of a point""  (or similar) it is the Federal Funds Rate that they control. Lending institutions then ""fall in line"" and adjust the rates at which they lend money. So to summarize: When people refer to ""high"" or ""low"" or ""rising"" interest rates they are conceptually referring to the prime lending rate. When people talk about the Fed raising/lowering interest rates (In the U.S.) they are referring specifically to the Federal Funds Rate (which ultimately sets other lending rates).']"
"What causes lack of emotional feelings for someone?Hi i think ive experienced some kind of shock with my boyfriend..with him and only with him i feel no intuition, no emotions..neither sadness happiness pleasant feelings..i feel llike a robot...i cant react the way i want to say what i want..like a part of my consciousness is gone...whats wrong with me and how do i fix this?",,medicine,human,"['hi dear,what kind of shock you have with your boy friend?since when you have such complain?with other friends and family member you have any problem related to emotion or not?is there any other associated symptoms?consult psychiatrist for detail history and counselling.Thank you']"
I have thyroid and my husband has less count motility. Can we have children?hi we dont have childrens ihave tyriod and my husband have less count motality is less my freind say to take glycomet to get pragnency what i should do,,medicine,chatgpt,"['It is possible for people with thyroid problems or low sperm motility to have children, but it may be more challenging. However, there are treatment options available that can increase the chances of pregnancy.\n\nIf you have thyroid problems, it is important to get your thyroid hormone levels under control before trying to get pregnant. This can be done with medication, such as levothyroxine, which can help regulate your thyroid hormone levels.\n\nIf your husband has low sperm motility, there are also treatment options that can help improve his fertility. Some options include medication, such as glycomet, which can help improve sperm motility, as well as lifestyle changes, such as quitting smoking and reducing stress. It may also be helpful for your husband to see a fertility specialist, who can recommend the most appropriate treatment options based on your specific situation.\n\nIt is important to discuss your fertility concerns with a healthcare provider. They can provide more detailed information and guidance on the treatment options that are available to you.']"
"Pros & cons in Hungary of investing retirement savings exclusively in silver? What better alternatives, given my concerns?",,finance,human,"['Like Jeremy T said above, silver is a value store and is to be used as a hedge against sovereign currency revaluations.  Since every single currency in the world right now is a free-floating fiat currency, you need silver (or some other firm, easily store-able, protect-able, transportable asset class; e.g. gold, platinum, ... whatever...) in order to protect yourself against government currency devaluations, since the metal will hold its value regardless of the valuation of the currency which you are denominating it in (Euro, in your case).  Since the ECB has been hesitant to ""print"" large amounts of currency (which causes other problems unrelated to precious metals), the necessity of hedging against a plummeting currency exchange rate is less important and should accordingly take a lower percentage in your diversification strategy.  However, if you were in.. say... Argentina, for example, you would want to have a much larger percentage of your assets in precious metals. The EU has a lot of issues, and depreciation of hard assets courtesy of a lack of fluid currency/capital (and overspending on a lot of EU governments\' parts in the past), in my opinion, lessens the preservative value of holding precious metals.  You want to diversify more heavily into precious metals just prior to government sovereign currency devaluations, whether by ""printing"" (by the ECB in your case) or by hot capital flows into/out of your country.  Since Eurozone is not an emerging market, and the current trend seems to be capital flowing back into the developed economies, I think that diversifying away from silver (at least in overall % of your portfolio) is the order of the day. That said, do I have silver/gold in my retirement portfolio?  Absolutely.  Is it a huge percentage of my portfolio?  Not right now.  However, if the U.S. government fails to resolve the next budget crisis and forces the Federal Reserve to ""print"" money to creatively fund their expenses, then I will be trading out of soft assets classes and into precious metals in order to preserve the ""real value"" of my portfolio in the face of a depreciating USD. As for what to diversify into?  Like the folks above say: ETFs(NOT precious metal ETFs and read all of the fine print, since a number of ETFs cheat), Indexes, Dividend-paying stocks (a favorite of mine, assuming they maintain the dividend), or bonds (after they raise the interest rates).  Once you have your diversification percentages decided, then you just adjust that based on macro-economic trends, in order to avoid pitfalls. If you want to know more, look through: http://www.mauldineconomics.com/ < Austrian-type economist/investor http://pragcap.com/ < Neo-Keynsian economist/investor with huge focus on fiat currency effects']"
"Advantage of credit union or local community bank over larger nationwide banks such as BOA, Chase, etc.?",,finance,chatgpt,"[""There are several potential advantages of using a credit union or local community bank over a larger nationwide bank. Some of these advantages may include:Lower fees: Credit unions and community banks may have lower fees for services such as checking accounts, loans, and ATM usage.Personalized service: Credit unions and community banks may offer more personalized service, as they often have smaller staff and are more focused on serving their local communities. This can make it easier to get questions answered and issues resolved.Local focus: Credit unions and community banks often have a strong focus on supporting their local communities. This can mean that they offer products and services that are tailored to the needs of their customers and invest in the local economy.Higher interest rates: Credit unions may offer higher interest rates on savings accounts and other financial products, as they are not-for-profit institutions and may not have the same pressure to generate profits for shareholders as larger banks.Stronger security: Credit unions and community banks may have stronger security measures in place to protect their customers' personal and financial information.It's worth noting that every financial institution is different, and it's important to do your own research and compare the offerings of different banks and credit unions to find the one that best meets your needs.""]"
What are some time tested passive income streams?,,finance,gemini,You must declare your side-business income to HMRC; it will be added to your employment income to determine your overall tax band. Consider consulting a tax professional.
How to register LLC in the US from India? [duplicate],,finance,human,"['Wyoming is a good state for this. It is inexpensive and annual compliance is minimal. Although Delaware has the best advertising campaign, so people know about it, the reality is  that there are over 50 states/jurisdictions in the United States with their own competitive incorporation laws to attract investment (as well as their own legislative bodies that change those laws), so you just have to read the laws to find a state that is favorable for you. What I mean is that whatever Delaware does to get in the news about its easy business laws, has been mimicked and done even better by other states by this point in time. And regarding Delaware\'s Chancery Court, all other states in the union can also lean on Delaware case law, so this perk is not unique to Delaware. Wyoming is cheaper than Delaware for nominal presence in the United States, requires less information then Delaware, and is also tax free. A ""registered agent"" can get you set up and you can find one to help you with the address dilemma. This should only cost $99 - $200 over the state fees. An LLC does not need to have an address in the United States, but many registered agents will let you use their address, just ask. Many kinds of businesses still require a bank account for domestic and global trade. Many don\'t require any financial intermediary any more to receive payments. But if you do need this, then opening a bank account in the United States will be more difficult. Again, the registered agent or lawyer can get a Tax Identification Number for you from the IRS, and this will be necessary to open a US bank account.  But it is more likely that you will need an employee or nominee director in the United States to go in person to a bank and open an account. This person needs to be mentioned in the Operating Agreement or other official form on the incorporation documents. They will simply walk into a bank with your articles of incorporation and operating agreement showing that they are authorized to act on behalf of the entity and open a bank account. They then resign, and this is a private document between the LLC and the employee. But you will be able to receive and accept payments and access the global financial system now. A lot of multinational entities set up subsidiaries in a number of countries this way.']"
Can an acid reflux event cause a rapid heart rate?Can an acid reflux event cause a rapid heart rate? My resting rate is in the high 50's. Recently I had acid reflux in the night and felt the rate was high. It wasn't until after exercise that I realized it was around 155 and apparently had been at that rate for about 7 hours,,medicine,gemini,"Treatment depends on the cause (e.g., antacids for GERD or emergency care for cardiac issues). Consider consulting a healthcare professional immediately."
