question,human_answers,chatgpt_answers,index,source
Suggest treatment for back pain after walking for some timeI am 18 and I get terrible back ache after standing up or walking around for only a few hours. It is in the middle of my back and it gets better once I have rested it. Should I be getting pain this bad at my age? I am 5ft 3 and 8 stone so not overweight. What could it be?,"['Hi,Having this type of back pain at this age indicates lack of physical exercise.go for daily physical exercise like running, jogging, swimming etc daily for 30-35 minutes a day for 5days in a week.Develop some interest in sports.Take high protein diet.Ok and take care.']","['It is not uncommon to experience back pain, especially if you have been standing or walking for a prolonged period of time. There are several things you can try to alleviate the pain:\n\nTake a break from standing or walking and rest in a comfortable position.\n\nApply heat or cold to the affected area. Heat can help to relax tense muscles, while cold can help to reduce inflammation.\n\nTry stretching or massaging the affected muscles.\n\nOver-the-counter pain medications, such as ibuprofen or acetaminophen, may also be helpful in reducing pain and inflammation.\n\nIt is always a good idea to consult with a healthcare professional if you are experiencing persistent or severe pain, as they can help to determine the underlying cause and suggest appropriate treatment options.\n\nIt is not necessarily abnormal to experience back pain at your age, but it is important to address any ongoing pain to ensure that it does not worsen over time.']",,medicine
"Are BP of 119/65 and pulse of 35 causes for concern?Yesterday I was very dizzy, short of breath, heart rate around 35,BP 119/65. I am 51,female, overweight and have RA and Fibermyalgia. Do you know what might have caused this episode yesterday? I figure I would not feel okay today if it had been a heart attack.","['Welcome and thank you for asking on HCM! I have gone through your question. firstly an ECG is required and if itshows complete heart block (more likely) a pacemaker may beneeded.Hope to have been helpful!Wishing good health, Dr D Sunil Reddy']","['It is not uncommon for people with rheumatoid arthritis (RA) and fibromyalgia to experience symptoms such as dizziness, shortness of breath, and a low heart rate. These symptoms can be caused by a variety of factors, including inflammation, fatigue, and stress. It is possible that your symptoms yesterday were related to one or more of these factors.\n\nIt is important to note that a blood pressure reading of 119/65 and a pulse rate of 35 are within normal ranges and do not necessarily indicate a cause for concern. However, if you are experiencing persistent or severe symptoms, it is always a good idea to consult a healthcare professional for further evaluation and guidance. They can help determine the cause of your symptoms and provide appropriate treatment.']",,medicine
Can Acutret be given to a child for treatment of skin rashes?i have 4yrs 9 months girl baby. she had rashes and one dermetologist suggested acutret 5mg. she is 18 kg. i am afraid to start the dosage as i read the warning given in the tablets. is there any food restrictions when she take acutret ? kindly suggest,"['Although it is difficult to comment whether Acutret (isotretinoin) needs to be given for rash, I would probably not have prescribed it. The dosage is proper and you need not worry. Do not worry about the warning labels as doctors might have a different thing in mind while prescribing and that correlation might not be apparent to you. No food restrictions needed.For skin rashes, I would probably have prescribed calamine lotion and some antiallergic like fexofenadine for 3-4 days.']","[""It is not appropriate for me to recommend a specific medication or treatment for your child's skin rashes. Acutret (isotretinoin) is a prescription medication used to treat severe acne. It is not typically used to treat skin rashes, and it is important to use it only under the guidance of a healthcare provider.\n\nBefore starting any medication, it is important to discuss the potential risks and benefits with a healthcare provider. They will be able to determine the most appropriate treatment for your child based on their age, weight, overall health, and the specific nature of their skin condition.\n\nIf your child has been prescribed Acutret, it is important to follow the instructions provided by the healthcare provider and to adhere to any specific dietary or other restrictions that may be recommended. It is also important to report any side effects or adverse reactions to the healthcare provider.""]",,medicine
"What could cause a painless lump in the right arm near the shoulder?I have small lump the size of approximately a quarter on my upper right arm near my shoulder. For the most part it is painless, but occasionally there is a very slight muscle pain. It is not red or warm. I believe I have had this for over one week. It has not changed size.","['Hi, * As per my surgical experience, the issue sounds to be soft tissue lesion as sebaceous cyst or lipoma more likely. * If visible over the surface, a photocopy of the same as an attachment in follow up conversation will serve best to proceed for detailed analysis. Hope I have answered your query. Let me know if I can assist you further. Take care Regards,Dr Bhagyesh V. Patel, General Surgeon']","['There are several possible causes of a painless lump in the right arm near the shoulder. Some of the most common causes include:\n\nLipoma: A lipoma is a benign (non-cancerous) tumor made up of fat cells. It is typically soft, painless, and movable.\n\nCyst: A cyst is a sac-like structure that can contain fluid, pus, or other substances. Cysts can occur anywhere on the body and are usually painless.\n\nGanglion cyst: A ganglion cyst is a fluid-filled sac that often appears on the wrist, hand, or foot. It can also occur in other areas of the body, including the arm. Ganglion cysts are usually painless and movable.\n\nBursitis: Bursitis is an inflammation of the bursae (small fluid-filled sacs) that cushion and protect the joints. Bursitis can cause a lump and discomfort in the shoulder area.\n\nIt is important to see a doctor if you have a lump in your arm that is persistent or bothersome. The doctor will be able to determine the cause of the lump and recommend appropriate treatment.']",,medicine
Is rise in pressure from 116/66 to 140/80 normal?I have PAD and am on 40mg of Lisinopril a day. I have been taking 1/2 of that some days as my blood pressure has been dropping giving me a quick feeling of faintness and I am tired a lot of the time. My pressure today was 116/66 then within an hour was up to 140/80 then later dropped again. Is this normal?,"['Hello!Welcome and thank you for asking on HCM!Regarding your concern, I would explain that these blood pressure fluctuations are quite normal during the day. They are related to physical or emotional activity. Isolated blood pressure are not conclusive for high blood pressure. I would recommend measuring your blood pressure frequently during the day (in sitting position after 10 minutes of total relax) and write those values in a notebook. You should do this for a week and then show these values to your doctor in order to make the proper changes to your actual therapy. Some blood lab tests may be needed to exclude other possible causes of blood pressure fluctuations: - complete blood count- blood electrolytes for possible imbalance- thyroid hormone levels for possible thyroid dysfunction- inflammation tests (PCR, sedimentation rate). Hope you will find this answer helpful!Kind regards, Dr. Iliri']","[""It's not uncommon for blood pressure to fluctuate throughout the day, and a single reading may not necessarily reflect your overall blood pressure. However, a significant increase in blood pressure such as the one you described could be a cause for concern, especially if you have peripheral artery disease (PAD) and are taking lisinopril to manage your blood pressure. It's important to discuss this change in your blood pressure with your healthcare provider, as they may need to adjust your medication or recommend lifestyle changes to help manage your blood pressure. They may also want to monitor your blood pressure more closely to see if there are any patterns or underlying issues that need to be addressed. In the meantime, it's important to continue taking your medication as prescribed and to follow any other recommendations your healthcare provider may have for managing your blood pressure.""]",,medicine
What is the treatment for presence of breasts in a male?Hai Doctor.My name is Lingesh.I'm 17.I'm having a problem.I'm having man boobs.I dono whether it can be remove by doing excerise or doing a surgery.Beside that i'm not good at doing pumping.So i'm having an idea to attempt to the GYM classes.What shud i do.Go to GYM Or doing a surgery???,"['HIThank for asking to HCMI really appreciate your concern looking to the history given here I could say that this is condition of ""Gynecomastia"" looking to your age this is some time happens I this age group and the most probable cause would be higher amount of estrogen but no need to worry about this it would come around, no need to do any think or think any thing, take car and have a nice day.']","[""I'm sorry, but I am an AI language model and do not have the ability to diagnose or treat medical conditions. If you are concerned about the presence of breasts in a male, I recommend that you speak with a healthcare professional for proper evaluation and treatment recommendations.\n\nGynecomastia, or the presence of breasts in males, can be caused by a variety of factors including hormonal imbalances, certain medications, and obesity. Treatment options may include lifestyle changes such as diet and exercise, medication, or surgery. It is important to speak with a healthcare professional to determine the most appropriate treatment option for your individual situation.\n\nIn the meantime, if you are interested in improving your physical fitness, it can be helpful to consult with a personal trainer or exercise specialist to develop a safe and effective exercise program that is tailored to your needs and goals.""]",,medicine
Suggest remedy for hard lumps in the abkle bonepy7 days ago  my ankle took a severe knock. A & E did not need to xray as weight bearing however today I m left with a hard lump sticking out above the ankle bone. I am concerned that it wont go away. It looks like I have 2 ankle bones. I wud appreciate some reaseurance. Also Iam about to go on a long distant flight .,"['Hi, dearI have gone through your question. I can understand your concern. You have history of trauma. so you may have hematoma formation due to extravasation of blood. You should go for x ray of that area to rule out any bony injury or fractures.  You should take analgesic and anti inflammatory drugs ti reduce pain and swelling. Hot water compression is also helpful.  Consult your doctor and take treatment accordingly. Hope I have answered your question, if you have doubt then I will be happy to answer. Thanks for using health care magic. Wish you a very good health.']","[""I'm sorry to hear about your ankle injury. It's important to get any injury checked out by a medical professional, especially if you're experiencing pain or swelling. Hard lumps can sometimes be a sign of a more serious injury or condition, such as a fracture or a cyst.\n\nIf you haven't already done so, it's a good idea to make an appointment with a doctor or a physiotherapist to have your injury evaluated. They will be able to assess the lump and determine the cause. Depending on the cause, they may recommend treatment options, such as ice, rest, elevation, physical therapy, or medications.\n\nIt's also important to take care of your ankle while you're on your long-distance flight. Try to avoid standing for long periods of time, and wear comfortable shoes that provide support for your feet. If you need to elevate your foot, you can use a footrest or a small pillow. Avoiding prolonged periods of inactivity can also help reduce swelling.\n\nI hope this information is helpful. If you have any further questions or concerns, please don't hesitate to ask.""]",,medicine
"What to do as my daughter is vomiting the medicines?Hi DoctorMy daughter is 3 yrs old. she is having cold & cough for past 3 days. From last night she is vomiting. Here doctor prescribed her today with Amoxylin and a cough syrup. I gave her a dose , due to cough she again vomited, I am bit worried because she is taking the medicines out. Please let me know what to do next. Thanks.","['Hi dear Welcome to the HCM,acidity is the cause for such vomitings. give her some thing to eat.Antiemetics like ondensetron can be given about 5 ml . this will take care of this problem,Hope the query is answered.Thanks']","[""I'm sorry to hear that your daughter is not feeling well and that she is vomiting the medicine. It's important to try to give her the prescribed medicine as directed, as it can help her get better faster. Here are a few things you can try:\n\nGive the medicine with food: Try giving your daughter the medicine with a small snack or meal to see if that helps her keep it down.\n\nUse a different form of the medicine: If the medicine is available in a different form (such as a liquid or chewable tablet), you can try giving it to her in that form.\n\nGive smaller doses more frequently: Instead of giving your daughter the full dose all at once, try giving her smaller doses more frequently throughout the day. This may be easier for her to tolerate and may help her keep the medicine down.\n\nConsult with your doctor: If your daughter continues to vomit the medicine or if you are concerned about her condition, it's important to consult with your doctor. They may be able to suggest a different medication or dosage, or they may need to see your daughter in person to determine the best course of treatment.\n\nI hope these suggestions are helpful. It's always important to follow your doctor's recommendations and to seek medical advice if you have any concerns about your daughter's health.""]",,medicine
Suggest remedy for puss accumulation in chest post a heat surgeryMy father had a open heart surgery a few weeks ago and he has a pus accumulation in the middle of his chest. This is along the area which was cut open for the surgery. He now has developed high fever overnight and also has some body pains. What has to be done now?,['Thanks for your question on HCM. In my opinion your father is having SSI (Surgical Site Infection).It is a type of complication seen post operatively. It is due to bacterial infection either due to poor stich care or due to poor immunity of the patient. Diabetes need to be rule out first. So get done Hb1Ac (Glycosylated Hemoglobin) to rule out Diabetes. Pus is formed mostly by mixed infection (aerobic and anaerobic).So get done culture from pus and sensitivity for guiding antibiotic therapy.  He needs atleast 21 days of antibiotics.'],"[""I'm sorry to hear about your father's situation. Pus accumulation in the chest after surgery can be a serious concern and should be addressed promptly. It's important for him to seek medical attention as soon as possible, as the pus accumulation and fever could indicate an infection or other complication from the surgery.\n\nThe appropriate course of treatment will depend on the cause of the pus accumulation and the specific details of your father's case. His healthcare team will be able to determine the best treatment plan after examining him and performing any necessary tests. This may include antibiotics to treat an infection, drainage of the pus, or additional surgery to remove any infected tissue.\n\nIn the meantime, it's important for your father to rest and stay well hydrated. If he is experiencing pain, he should let his healthcare team know so that they can provide appropriate pain management.\n\nAgain, it's important for your father to seek medical attention as soon as possible to address the pus accumulation and fever. I hope he is able to receive the care he needs and make a full recovery.""]",,medicine
"Having white patches on faceI have alot of whiteheads on my face, particularly on my chin and lips area. i tried alot of ways but still no results seen. is there anyway i can clear or lessen it? this is getting annoying especially when i have to go out D:",['hiits type of acne.it is difficult to get rid of it but nit impossible.better to consult dermatologistit will take 2-3 month to treat.topical retinoid and isotretinoin have excellent resultbut to be taken after consultation.no face wash will remove it'],"['Whiteheads, also known as closed comedones, are a type of acne that form when oil and dead skin cells clog hair follicles. They can appear anywhere on the body, but are commonly found on the face, particularly the chin and around the lips.\n\nThere are several steps you can take to help clear or lessen the appearance of whiteheads:\n\nKeep your skin clean: Wash your face twice a day with a mild, oil-free cleanser to remove excess oil and dirt. Avoid scrubbing your skin, as this can irritate it and make the problem worse.\n\nUse salicylic acid: This is a type of beta hydroxy acid that helps to exfoliate the skin and unclog pores. Look for products that contain salicylic acid, such as face washes or toners, and use them as directed.\n\nUse a non-comedogenic moisturizer: Choose a moisturizer that is specifically designed for acne-prone skin and won\'t clog pores. Look for products that are labeled ""non-comedogenic"" or ""oil-free.""\n\nAvoid touching your face: Hands can transfer bacteria and oil to the skin, so it\'s important to avoid touching your face as much as possible.\n\nAvoid picking or squeezing whiteheads: This can cause inflammation and may lead to scarring. If you do need to extract a whitehead, make sure to do it gently and with clean hands and tools.\n\nUse a gentle exfoliant: Gently exfoliating your skin can help to remove dead skin cells and unclog pores. Look for products that contain alpha hydroxy acids (AHAs) or beta hydroxy acids (BHAs).\n\nUse a spot treatment: If you have a single whitehead that you need to treat, you can use a spot treatment that contains benzoyl peroxide or salicylic acid. These products can help to kill bacteria and dry out the whitehead.\n\nIt\'s important to remember that it can take time and patience to clear up whiteheads. If you have tried these steps and your whiteheads are still not improving, it may be a good idea to see a dermatologist for further evaluation and treatment.']",,medicine
