row_id,question,source,writer,answer
718,"Which medicine among hydracortesones, thyroxine and sinemet can drop blood pressure?When I get up in morning by blood pressure is fairly normal then I take two hydracortesones 10mg and a thyroxine 125 mcg and sinemet 25/100 and my pressure drops dramatically to like 90 over 55. I have parkinsones. Could one of these meds be causing this.",medicine,human,hi dear noted all your detailssinemet 25/100 contains levodopa which is responsibe for hypotensionhypotension is a side effect of dopamine substitutesrest hydrocortisone and thyroxine elevates the blood pressureyour problem of hypotension is because of sinemet tablet dearthanks have a safe recovery
839,How to determine how much to charge your business for rent (in your house)?,finance,gemini,Here is some information that may help with your question. There are several factors to consider when determining how much to charge your business for rent in your house:Market rate: Research the going rate for commercial rentals in your area to get an idea of what is reasonable to charge.Size of the space: Consider the size of the space you are renting out and how that compares to similar commercial rentals in your area.Location: The location of your house can affect the rent you charge. Please remember that this is for informational purposes and not professional financial advice.
964,How can banks afford to offer credit card rewards?,finance,gemini,"Here is some information that may help with your question. Banks are able to offer credit card rewards programs because they make money from the fees they charge merchants for processing credit card transactions, as well as from the interest they charge cardholders on unpaid balances. They also make money from the annual fees that some credit cards charge.When a cardholder uses a credit card to make a purchase, the merchant pays a fee to the bank that issued the card. Please remember that this is for informational purposes and not professional financial advice."
558,What causes throbbing chest pain along with shortness of breath?I have a throbbing pounding pain in the middle of my chest between my breasts. I am not short of breath. The pain is constant. I noticed today that after swelling my food when it gets to that area it hurts going down. Also hurts more when I bend. The pain is constant and radiates across my back.,medicine,chatgpt,"Throbbing chest pain along with shortness of breath can be caused by a number of different conditions, including:

Angina: This is chest pain caused by reduced blood flow to the heart muscle. It is often described as a squeezing or tightness in the chest and can be accompanied by shortness of breath.

Heart attack: A heart attack occurs when the blood flow to a part of the heart is blocked, usually by a blood clot. Chest pain is the most common symptom of a heart attack, and it may be accompanied by shortness of breath, sweating, nausea, and vomiting.

Pulmonary embolism: This is a blood clot in the lungs that can cause chest pain and shortness of breath.

Pneumonia: This is an infection of the lungs that can cause chest pain and shortness of breath.

Costochondritis: This is inflammation of the cartilage that connects the ribs to the breastbone. It can cause chest pain, especially when taking a deep breath or coughing.

If you are experiencing throbbing chest pain along with shortness of breath, it is important to seek medical attention as soon as possible. These symptoms can be serious and may require immediate treatment."
179,How can I pay for school to finish my degree when I can't get a student loan and have bad credit?,finance,chatgpt,"There are several options you may consider if you are unable to get a student loan and have bad credit:Scholarships: Look for scholarships that you may be eligible for based on your specific circumstances, such as your field of study, personal background, or extracurricular activities. Many schools and organizations offer scholarships to help students pay for their education.Grants: Grants are a type of financial aid that does not have to be repaid. Look for grants that you may be eligible for based on your specific circumstances, such as your field of study, personal background, or financial need.Work-study programs: Work-study programs allow you to work part-time on campus or in a related field in exchange for a reduction in your tuition costs.Employer tuition assistance: Some employers offer tuition assistance or reimbursement programs to help their employees pay for their education. If you are currently employed, you may want to ask your employer if they have any such programs.Community resources: Local community organizations or charities may have resources available to help you pay for school. You can check with your school's financial aid office or do some research online to find out what resources may be available in your community.Crowdfunding: You may be able to raise money for your education through a crowdfunding campaign. You can set up a campaign on a crowdfunding website and ask friends, family, and other supporters to contribute.Payment plans: Many schools offer payment plans that allow you to pay your tuition and fees in installments rather than all at once. This can make it easier to manage the cost of your education.It's also a good idea to consider alternative ways to pay for school, such as attending a community college or a less expensive school, taking online classes, or enrolling in a shorter degree program."
948,Do my parents need to pay me minimum wage?,finance,chatgpt,"It is generally not legal for your parents to pay you less than the minimum wage for work that you do for them, unless you are a student participating in a work-study program or you are classified as a trainee. In most cases, your parents must pay you at least the minimum wage for any work that you do for them.The minimum wage is the lowest amount of money that an employer can pay an employee per hour of work. The minimum wage is set by federal, state, and local laws, and it varies depending on where you live and the type of work you do. Some states have a higher minimum wage than the federal minimum wage, so you should check the laws in your state to determine the applicable minimum wage.It is important to note that the minimum wage applies to all types of work, including work that is done on a casual or part-time basis. If you are doing work for your parents and you are not a student or trainee, your parents must pay you at least the minimum wage for your time and effort. If you have any concerns about whether you are being paid fairly, you should talk to your parents or a trusted adult for advice."
87,Does selling mixed-term stocks with a LIFO tax strategy make sense?,finance,gemini,"Here is some information that may help with your question. It is generally not a good idea to use the Last-In, First-Out (LIFO) tax strategy when selling mixed-term stocks. The LIFO method is typically used for inventory management, and it assumes that the items that were most recently added to a company's inventory are sold first. It is not typically used for individual investments such as stocks.There are other tax strategies that may be more appropriate for selling mixed-term stocks. Please remember that this is for informational purposes and not professional financial advice."
452,"How to declare foreign gift of nearly $10,000",finance,chatgpt,"If you receive a gift from a foreign individual or entity with a value of $10,000 or more, you may need to report it to the U.S. government. Under the Bank Secrecy Act, banks and other financial institutions are required to report cash transactions over $10,000 to the Internal Revenue Service (IRS) and the Financial Crimes Enforcement Network (FinCEN). This includes gifts received from foreign sources.To report a foreign gift of $10,000 or more, you will need to file Form 3520 with the IRS. This form is used to report gifts and bequests received from foreign sources. You will need to provide information about the donor, the gift, and any intermediaries involved in the transaction.You will also need to file Form 3520-A if you are a U.S. owner of a foreign trust. This form is used to report information about the foreign trust, including the names and addresses of the trustees, the U.S. owner, and the beneficiaries of the trust.It is important to note that gifts from certain foreign individuals or entities may be subject to gift tax. You should consult with a tax professional or refer to the IRS website for more information about gift tax and how it may apply to your situation."
322,What is quotational loss in stock market?,finance,human,"https://www.fool.com/investing/general/2013/07/30/2-types-of-risk-2-types-of-bubbles.aspx (mirror): The Wall Street Journal reviews: What Mr. Bernstein calls ""shallow risk"" is a temporary drop in an asset's market price; decades ago, the great investment analyst Benjamin Graham referred to such an interim decline as ""quotational loss."" ""Deep risk,"" on the other hand, is an irretrievable real loss of capital, meaning that after inflation you won't recover for decades -- if ever. So quotational loss = loss not explained by change of actual value of a firm."
700,"Q. Why was the period has been very light after abortion ?Hi doctor,I am 26 years old. I had an abortion 6 months ago using the suction method. Since then, my period has been very light and lasts only a day. I had an abortion earlier too using the same method and did not experience anything as such. What could be the problem? What do you advise for this?",medicine,chatgpt,"It is not uncommon for the menstrual cycle to be irregular after an abortion, especially in the first few cycles. However, if your periods continue to be very light and last only one day for an extended period of time, it is important to speak with a healthcare provider. There could be various reasons for this change in your menstrual cycle, such as hormonal imbalances, certain medications, or underlying health conditions.

It is also possible that the abortion itself may have caused damage to the uterus or cervix, which could affect the menstrual cycle. It is important to rule out any underlying causes and address any potential health concerns.

I recommend speaking with a healthcare provider to discuss your concerns and undergo any necessary evaluations. They can assess your overall health and determine the cause of the change in your menstrual cycle. They can also provide you with recommendations for treatment or management, if necessary. It is important to take care of your reproductive health and address any concerns you may have."
